"GSM134895","GSM134896","GSM134897","GSM134898","GSM134900","GSM134903","GSM134905","GSM134907","GSM134940","GSM135015","GSM135016","GSM135017","GSM135018","GSM135657","GSM135659","GSM135674","GSM135678","GSM135683","GSM135685","GSM135686","GSM135691","GSM135699","GSM135701","GSM135019","GSM135020","GSM135021","GSM135022","GSM135023","GSM135024","GSM135025","GSM135026","GSM135029","GSM135031","GSM135033","GSM135042","GSM135045","GSM135051","GSM135057","GSM135060","GSM135068","GSM135071","GSM135072","GSM135078","GSM135159","GSM135163","GSM135166","GSM135168","GSM135220","GSM135223","GSM135224","GSM135228","GSM135262","GSM135263","GSM135279","GSM135655","GSM135656","GSM135658","GSM135660","GSM135661","GSM135662","GSM135663","GSM135664","GSM135665","GSM135666","GSM135667","GSM135668","GSM135669","GSM135670","GSM135671","GSM135672","GSM135673","GSM135675","GSM135676","GSM135677","GSM135679","GSM135680","GSM135681","GSM135682","GSM135684","GSM135687","GSM135688","GSM135689","GSM135690","GSM135692","GSM135693","GSM135694","GSM135695","GSM135696","GSM135697","GSM135698","GSM135700","GSM135702","GSM135703","GSM135704","log_fold_change"
0.0645091,0.106225,0.02281885,0.14945,0.02281885,0.02281885,-0.601978,0.02281885,0.02281885,0.02281885,0.311765,0.02281885,-0.0890508,0.02281885,0.02281885,0.196423,-0.140672,0.02281885,-0.28676,0.02281885,0.02281885,-0.0188714,0.02281885,-0.380109,-0.0633817,-0.402866,-0.0633817,-0.081049,-0.0633817,1.88287,-0.838301,-0.0633817,-0.0633817,0.27296,0.150291,-0.0633817,-0.0633817,-0.865441,0.353326,0.17566,-0.150277,-0.0633817,-0.0719919,-0.0633817,-0.0633817,0.357111,-0.0633817,-0.0633817,0.191355,0.234318,0.518677,-0.0932884,-0.113205,-0.563286,-0.0633817,-0.0292711,0.300411,-0.0633817,-0.290545,0.410406,-0.0633817,-0.372179,0.357736,-0.633433,0.180609,-0.24157,-0.0633817,-0.0633817,-0.0279984,0.560208,-0.0633817,0.147895,0.448528,0.225815,-0.450202,-0.461082,-0.0908177,0.143698,-0.805109,0.0468704,-0.0651106,-0.568678,-5.35811,-0.0633817,-0.0633817,0.208803,0.41744,-0.413242,-0.540875,-0.120146,-0.295405,0.38694,-0.0270821,-0.0633817,7.66393421098889
0.0188379,0.00808403,0.00808403,-0.219378,0.00808403,0.00808403,0.00808403,0.00808403,0.00808403,0.00808403,0.143617,0.00808403,0.00808403,0.00808403,0.146043,0.00808403,-0.265584,0.00808403,-0.15556,-0.00917317,0.00808403,0.19897,0.00808403,0.134645,-0.08243285,-0.08243285,-0.08243285,0.207496,-0.08243285,-0.08243285,-1.34668,-0.08243285,-0.08243285,-0.420651,0.130182,-0.08243285,0.159999,0.129069,-0.08243285,0.0221607,-0.0180104,-0.08243285,-0.1064,-0.08243285,-0.08243285,-0.140702,-0.08243285,-0.08243285,-0.08243285,0.220086,-0.186406,-0.0825512,0.176104,0.247834,-0.08243285,-0.08243285,0.092608,0.0895062,-0.0865924,-0.175303,0.538305,0.00329768,-0.38909,-0.0747865,-1.07766,-0.08243285,-1.70165,-0.431476,0.0195756,-0.748341,-0.08243285,-0.0823145,-1.3162,-0.4019,-0.367847,0.0109301,0.0604679,-0.191756,-0.08243285,-0.348275,-0.216365,0.0434872,-0.187503,-1.17388,-0.08243285,0.417493,-0.08243285,-0.323792,-0.253481,0.2994,-0.552897,-0.0402365,0.0230698,-0.08243285,7.44947080853675
-0.197549,0.88794,-0.332183,0.271148,-0.432122,-0.46878,-0.685206,0.321165,0.214814,-0.00338484,0.0480826,-0.00338484,-0.987784,0.220602,0.114263,-0.687497,-0.232576,1.56906,-0.484467,0.186765,0.696226,-0.0250729,-0.00338484,0.0597135,-0.186055,-0.186055,-0.326833,1.01591,0.196134,-0.243654,0.481954,-0.186055,-0.906916,1.71627,1.40651,-0.456682,0.323201,-0.69233,0.0942182,0.503777,-0.445866,-0.186055,-0.986008,-0.186055,-0.480126,1.36957,-0.186055,-0.186055,-0.592336,-0.212152,0.63919,0.34102,-0.257414,-0.920539,0.424997,-0.186055,-0.376563,0.0998943,-0.240681,-0.578329,-1.00409,-0.610876,-0.409738,-1.52395,-0.186055,-0.0658743,-0.186055,-0.352229,-0.225226,-0.854287,-0.186055,-0.0648352,-0.186811,-0.144168,-0.597207,0.0362216,-0.106687,-0.0394482,-0.094431,0.0666327,0.0428741,0.628009,0.218236,-0.369805,-0.207576,-0.297014,1.18646,-0.115688,0.483002,-0.061159,-0.00771346,-0.43943,-0.204142,-0.190838,7.32645097399516
0.000191512,0.000191512,0.000191512,0.000191512,-0.0348754,-0.375899,-0.0395049,0.0642004,0.474175,0.000191512,0.000191512,0.0252213,-0.110923,0.226353,0.152229,0.0780698,0.000191512,-0.23978,-0.133586,0.000191512,0.151162,-0.266395,0.000191512,-0.260151,-0.737378,0.272089,-0.0282652,-0.333346,-0.110614,-0.182692,0.176089,-0.110614,-0.113771,-0.225141,-0.110614,-0.110614,0.189134,-0.515201,0.0590185,-0.018567,-0.272478,-0.110614,0.010604,-0.110614,-0.267841,-0.12644,-0.110614,0.14985,-0.398591,-0.141015,-1.05742,-0.240085,0.182085,-0.632789,0.162824,0.0954315,-0.0726754,-0.110614,0.34029,-0.667539,-0.583071,-0.083234,-0.118377,0.0102726,0.240425,0.403777,-0.110614,-0.270782,0.133819,-0.584272,-0.0956282,0.317803,-0.563778,0.166954,-0.0900046,-0.589414,-0.153669,-0.107729,-0.211448,-0.25197,-0.113499,-0.282363,-5.2962,0.993252,0.0932594,0.0239338,0.186489,-0.0566507,0.193248,0.0184785,-0.133276,-0.192503,0.0792048,-0.621818,7.2622550996843
0.619824,0.720479,0.0300553,0.0300553,-0.181915,-0.218627,0.344265,0.0300553,0.0300553,0.0300553,0.0300553,0.0300553,0.45474,0.0300553,-0.338431,0.0300553,0.0300553,-1.54999,0.365302,0.0300553,0.0300553,0.0300553,-0.595618,0.433608,0.0823334,0.0823334,0.31183,0.0823334,0.0823334,0.237979,0.639398,0.0823334,0.0823334,-0.190952,0.382244,0.0823334,0.0823334,-0.0022399,0.0190895,0.0924912,0.0823334,0.0823334,-0.177967,0.104084,0.171135,0.0721756,0.0823334,0.0823334,0.254476,-0.198118,0.00962,0.2522,-1.87807,-0.328576,0.0823334,0.0823334,0.206754,0.0823334,-0.175836,-0.626571,0.165929,-0.0777951,0.0823334,0.0823334,0.752148,0.404916,0.0823334,0.225871,-0.238453,0.0823334,0.0823334,0.985401,0.909267,0.0823334,-0.0735413,-0.089486,-0.67522,0.582653,0.0823334,0.121396,-0.105306,-1.17926,0.0823334,0.0823334,0.0823334,0.0823334,1.27293,0.198993,-0.0486818,0.942311,-0.531519,-0.377294,-0.0833545,0.0823334,7.21041440372364
-0.136842,-0.446611,-0.385317,-0.076674,0.130412,-0.368302,-0.391298,0.654391,0.178696,-0.192925,0.112459,0.137696,-0.181256,0.0620292,-0.112472,0.293055,-0.076674,-0.189295,0.0917093,0.670079,0.599111,-0.274288,-0.076674,-0.898735,0.0731667,0.0463882,-0.409295,-0.494441,-0.384045,0.0297441,1.83391,0.0463882,-0.62335,0.18847,-0.455509,0.0463882,0.231033,0.225819,0.139076,-0.497177,-0.470208,0.0463882,-0.10474,0.0463882,-0.727999,-0.0166728,-0.364583,0.0463882,-0.12185,-0.319239,0.697704,-0.432765,1.01465,0.507898,0.0463882,-0.419638,-0.2704,-0.0608293,0.460209,0.915785,1.75181,0.24807,1.12763,-0.245892,0.122009,-0.277184,0.0463882,0.660893,2.28998,-1.09199,-0.318136,1.04918,0.948278,0.263149,-0.186166,-0.719617,0.81708,0.531123,0.87183,0.0933236,-0.758387,0.0214026,0.142652,-0.462472,-0.154681,0.283498,0.480815,0.929825,0.655016,-0.00814884,0.159794,-0.188554,0.568555,0.0463882,7.15891337200217
0.188064,0.189637,0.189637,0.189637,0.189637,0.189637,0.189637,0.189637,-1.09946,0.198272,0.189637,0.19121,0.543306,0.189637,0.0874655,0.189637,0.189637,-3.22486,0.247728,0.189637,0.189637,0.189637,0.189637,-0.118978,-0.118978,-0.118978,-0.118978,-0.118978,-0.118978,-0.118978,-0.0958783,-0.341737,-0.118978,0.361749,-0.118978,-0.118978,-0.118978,0.197935,-0.118978,-0.167508,-0.118978,-0.118978,-0.405446,0.658396,-0.118978,-0.118978,-0.118978,0.096545,-0.118978,0.118305,-0.116313,-0.621184,-0.410026,-0.118978,-0.118978,-0.149885,-0.118978,-0.727272,-0.655931,0.500957,0.138506,0.535159,0.0468088,-2.26254,-0.0668987,-0.118978,-0.543181,-0.207342,0.0762488,-0.0909854,-0.118978,-0.204543,-0.0913002,-0.234779,-0.118978,-0.166621,-0.118978,-0.410661,-0.118978,-0.0708686,-0.118978,0.652852,-0.118978,0.146044,0.127926,-0.854186,-0.333157,-0.144794,0.663731,0.0897396,-0.311277,-0.449524,-0.293745,-0.118978,7.01451130266863
-0.0219526,-0.0988948,0.533068,0.463852,-0.0151256,-0.181577,-0.231531,-0.0151256,-0.0151256,-0.0151256,-0.0151256,-0.0151256,0.113189,-0.0151256,-0.0151256,-0.0151256,0.0956293,-0.706756,0.166648,-0.0626281,0.120645,0.0422573,-0.114912,-0.132776,-0.10116785,-0.10116785,-0.10116785,-0.0760788,-0.129547,0.137454,-0.280575,-0.299666,0.119339,-0.591794,0.213377,-0.10116785,-0.0874377,-0.10116785,-0.10116785,-0.388792,0.416463,-0.10116785,0.0645778,-0.10116785,-0.270781,-0.697757,-0.10116785,-0.10116785,0.176124,-0.114898,-0.425434,-0.590082,-0.352651,0.476432,-0.10116785,0.144087,-0.10116785,0.32012,-0.226029,-0.323117,0.070169,0.0896498,-0.3538,-0.320613,-0.10116785,-0.252681,-0.939413,-0.0534289,0.513702,0.41141,-0.10116785,-0.14306,0.274076,-0.0843944,-0.0104359,-0.373861,0.03088,0.0192002,-0.324093,-0.130345,0.0375393,-0.227757,-0.150857,-0.326305,0.1212,-0.374675,-0.167296,-0.00670296,0.351167,0.433397,-1.13167,0.0794958,-0.079146,-0.10116785,6.98293046645408
0.0183965,0.0183965,0.0183965,0.0183965,0.0183965,0.0183965,0.0183965,0.0183965,-0.149539,0.0183965,0.0804698,0.0183965,-0.0524125,0.0183965,0.0183965,-0.338307,0.0183965,0.0183965,0.0468839,0.0183965,0.0183965,0.0864259,0.0183965,0.063752,0.015151,0.015151,0.015151,0.015151,0.015151,0.015151,-0.792696,0.015151,0.015151,-0.216396,0.015151,0.015151,0.373837,-0.796758,0.015151,0.05669,0.015151,0.015151,0.062103,0.015151,0.015151,0.0590985,0.015151,0.015151,0.015151,0.015151,0.0419202,-0.0959565,0.0608951,-0.556927,0.015151,0.015151,0.015151,0.015151,-0.110244,0.256941,0.39748,0.0306451,0.798315,-0.732939,0.520031,-0.186126,-1.10661,-0.0774697,0.118383,0.015151,0.015151,0.200641,-0.114302,-0.684957,-0.361896,0.015151,-0.0283749,-0.0221546,0.015151,-0.226431,-0.0424669,0.0825346,-0.3488,0.015151,0.015151,-0.0601566,0.426303,0.0310974,0.196179,-0.742156,-1.00614,0.314908,0.137964,0.639363,6.14513940156352
0.202853,-0.0743142,0.191748,-0.330726,0.07913115,-0.588822,-0.747805,0.07913115,0.266235,0.07913115,0.0684427,0.07913115,-0.429116,0.07913115,0.144373,0.182687,0.07913115,0.07913115,0.0500349,0.0898196,0.07913115,0.07913115,0.229538,0.33151,-0.116039,-0.116039,0.336797,-0.116039,-0.116039,-0.116039,0.242363,-0.116039,-0.116039,-0.502074,0.66526,-0.116039,-0.116039,-0.28111,0.00992284,-0.116039,-0.357305,-0.116039,-0.116039,-0.116039,0.0198472,-0.211676,0.056899,-0.303617,-0.325882,-0.116039,-0.430488,-0.670224,-0.116039,0.686122,-0.116039,-0.116039,-0.137856,-0.116039,-0.116039,-0.0904276,-0.466191,-0.379568,-0.116039,-0.116039,0.0287616,0.417954,-0.383516,0.194471,0.319511,-0.116039,-0.116039,-0.116039,-0.493386,0.0353505,-0.116039,-0.346753,0.108592,-0.459941,-0.116039,-0.156796,-0.116039,-0.126313,-0.116039,0.168625,-0.0708816,0.272557,-0.116039,0.019074,-0.105811,-0.312433,-0.116039,-0.116039,-0.126267,-0.245059,6.03790102903283
