"regulatoryGene"	"targetGene"	"weight"	"weightNorm"
"ZNF677"	"ZNF133"	0.0415139155468468	0.480549350244356
"PTF1A"	"RWDD1"	0.0414457519983059	0.479760210222146
"HMGA1"	"COL6A1"	0.0414416802672073	0.47971307115679
"CDIP1"	"SEC22A"	0.0414223074253314	0.479488788747856
"SOX12"	"KIAA0368"	0.0413935947776859	0.479156377952267
"PROP1"	"EP400"	0.0413811371928306	0.479012154551346
"FOXK1"	"ALDOA"	0.0413629304569138	0.478801372332795
"ZBTB32"	"LOC115110"	0.0413010400455637	0.478084857397278
"ZNF644"	"AK024518"	0.0411030545837842	0.475792748857592
"STAT1"	"ABLIM1"	0.0410667255417761	0.475372161877735
"PHB"	"PRAME"	0.0408143145754446	0.472449960791662
"ZNF677"	"CD63"	0.0407157141662525	0.471308448491241
"LEF1"	"CBX2"	0.0406873948442998	0.470980591288482
"ZNF395"	"ZRANB2"	0.0405364301387071	0.469232849369606
"ZSCAN9"	"NM_003858"	0.0403912022852756	0.467551523882074
"MAZ"	"FARSA"	0.0403296148382007	0.466838516411177
"ZNF644"	"SUGP2"	0.0403248304072703	0.46678312630882
"LITAF"	"MBOAT7"	0.0403021535135177	0.466520592376496
"MAZ"	"HMGA1"	0.0402704915452662	0.466154036836709
"LCORL"	"AL137305"	0.0402180499571993	0.465546912400589
"HSFX1"	"PARD6G"	0.0401913060399193	0.465237293903195
"GCFC2"	"P3H2"	0.040144558574211	0.464696091208837
"KHSRP"	"SNAPC1"	0.0400436035451871	0.463527319107744
"ZNF706"	"AK024518"	0.039844419767682	0.46122133748019
"SOX10"	"EIF4G1"	0.0398208811685892	0.460948827450878
"FOXK1"	"MFSD10"	0.0398122003573612	0.46084832834671
"ZBTB32"	"AK026490"	0.0398002510450652	0.460709989296404
"ZNF133"	"ADARB2-AS1"	0.0397872230548574	0.46055916222384
"MAZ"	"LUM"	0.0397870203011713	0.460556814912825
"HMGA1"	"APOE"	0.0397806585843855	0.460483164326359
"MAZ"	"KRT19"	0.0396474815187915	0.458941352687289
"ZSCAN9"	"FAM50B"	0.0395849074136285	0.458216922521971
"HMGA1"	"ATP1B3"	0.039556071864643	0.457883088878419
"ZNF644"	"AF086494"	0.0394642022331776	0.456819499840482
"SOX4"	"S83282"	0.0394523032044635	0.456681742931038
"ZSCAN9"	"AK023255"	0.0394452399519679	0.456599970556351
"IRF9"	"IFIH1"	0.039391540752658	0.455978286558919
"FOXB1"	"PRKAG3"	0.0392663728535731	0.454529198288455
"NR4A3"	"AF075086"	0.0392316314280585	0.454126991392115
"MAZ"	"S70385"	0.0391648408505424	0.453353746469385
"HMGA1"	"UQCRC1"	0.0391614876524102	0.453314925972138
"FOXD2"	"AF056437"	0.0391611649693227	0.453311190219756
"PLEK"	"JAK2"	0.0391060186815079	0.452672753053228
"SMAD5"	"DGCR8"	0.0390713362432211	0.452271229061214
"HMGA1"	"NM_014610"	0.0390611063516555	0.452152796012611
"LTF"	"MMP8"	0.0390529336551953	0.452058179432281
"ZSCAN9"	"NM_017732"	0.0389212011509003	0.45053309170445
"ID3"	"ARL2"	0.038848037452971	0.449686064173684
"KLF13"	"CCDC144A"	0.0388357292261232	0.449543569913688
"PHB"	"AARS"	0.0387475829833894	0.448523087127248
"HMGA1"	"MAZ"	0.0386776569273996	0.447713542281681
"KLF13"	"PPP6R2"	0.0386620449295748	0.447532799750314
"ID3"	"TPM2"	0.0386589944689725	0.447497484092621
"SP110"	"GNAS-AS1"	0.0386485242264775	0.447376268463859
"ID3"	"PYCR1"	0.0386400169328645	0.447277778200156
"ID3"	"SELL"	0.0385744258141185	0.446518419598499
"MIXL1"	"ABCF1"	0.0385554859840961	0.446299150235262
"ZNF30"	"AK000944"	0.0385274301966305	0.445974344012323
"SOX4"	"MSH2"	0.0385024125444705	0.445684710755197
"KLF13"	"ZNF30"	0.0384790528292391	0.44541427169222
"SON"	"SAMSN1"	0.0383867624193215	0.444345811236579
"ZNF133"	"DPP4"	0.0383710830318102	0.444164288524312
"SOX4"	"RPL36"	0.0383189350209618	0.443560562877394
"ZNF677"	"DPP4"	0.0383154708966783	0.443520458170809
"GRHL1"	"C1orf68"	0.0382854104531571	0.443172443732363
"KLF13"	"AF085960"	0.0382799833997455	0.443109613889412
"SNAI2"	"CYP7A1"	0.0382668628605053	0.442957715362281
"ZNF133"	"LOC642533"	0.0382607695840233	0.442887172551038
