"regulatoryGene"	"targetGene"	"weight"	"weightNorm"
"ELF1"	"DDX23"	0.0220258771617124	0.393224270417727
"PBX2"	"VAV1"	0.0220256106900121	0.3932195131434
"BNC2"	"RBPMS"	0.022025606234037	0.393219433591628
"ZKSCAN3"	"RPL18"	0.0220248996181748	0.393206818497808
"E2F1"	"A2M"	0.022024833296611	0.393205634470114
"NR2F1"	"RCE1"	0.0220237732196415	0.393186709094754
"ESRRB"	"AF075056"	0.0220228554510709	0.39317032432724
"PLEK"	"CPB2"	0.0220223814995531	0.393161862950722
"ELF4"	"PFKFB4"	0.0220221684088536	0.393158058678401
"CEBPG"	"SLC25A44"	0.0220221519324451	0.393157764527858
"THAP12"	"AJ008154"	0.0220208508903745	0.393134537243186
"BAZ2A"	"VCPIP1"	0.0220206141135578	0.393130310106609
"RARB"	"SIPA1L2"	0.0220201910582049	0.393122757370739
"HMGXB4"	"ATXN7"	0.0220179162224016	0.393082145110782
"E2F1"	"LOC153811"	0.0220176424847743	0.393077258119087
"JAZF1"	"ZBTB14"	0.022017528746502	0.393075227568893
"XBP1"	"MFSD12"	0.0220166632637966	0.393059776252112
"NR3C1"	"DAPP1"	0.0220157627532471	0.393043699589139
"GABPB1"	"CYP27B1"	0.0220156396355857	0.393041501590293
"SATB1"	"PANK4"	0.0220156102398139	0.393040976792536
"NHLH1"	"ST18"	0.0220155654713518	0.393040177548732
"LEF1"	"FJX1"	0.0220155425393731	0.393039768147984
"NKX1-1"	"TBC1D16"	0.0220153262747391	0.393035907211945
"HEY1"	"CD70"	0.0220122907918511	0.392981715247864
"EPAS1"	"SH3BP5-AS1"	0.0220114068203553	0.392965933853827
"ELF1"	"CLIC1"	0.0220111147490105	0.392960719553364
"ARNTL"	"WDFY3"	0.0220111121028326	0.392960672311597
"ZNF35"	"EEFSEC"	0.0220106771507115	0.392952907184731
"ZNF318"	"OSBPL6"	0.0220098745125818	0.392938577821562
"BLZF1"	"PLEKHA6"	0.0220083403329994	0.392911188372209
"ARNT"	"LRRC41"	0.0220075679298269	0.392897398788632
"ZNF133"	"FAM81A"	0.0220074540900636	0.392895366426537
"RXRB"	"PROK2"	0.0220072635992635	0.392891965626408
"PROX1"	"HLA-C"	0.0220052074424476	0.392855257405534
"TET2"	"MAP2K3"	0.0220040352749632	0.392834330897115
"ZBTB4"	"L29306"	0.0220031900931618	0.39281924200895
"NFATC1"	"UBXN7"	0.0220016011378252	0.392790874657295
"DLX2"	"AK001083"	0.0220003988266239	0.392769409998181
"SON"	"AK002184"	0.022000348584281	0.392768513030107
"TEF"	"AF132200"	0.0219998762287829	0.392760080147059
"ETS1"	"AL110181"	0.0219993682221628	0.392751010790543
"ZNF837"	"AK001139"	0.0219988979358826	0.392742614848894
"E2F3"	"CISD1"	0.0219988944063929	0.39274255183751
"ZNF175"	"AK023337"	0.0219961978806958	0.392694411218995
"NPAS3"	"ATAT1"	0.021995886639902	0.392688854689592
"NKX2-2"	"SPATA20"	0.0219957861941963	0.392687061449348
"PIAS3"	"POLE"	0.0219956487345632	0.3926846074057
"ZNF267"	"PSMD3"	0.0219955209187737	0.392682325531966
"NR0B1"	"DCK"	0.0219952602245818	0.392677671402522
"ZNF552"	"VAMP2"	0.0219951583236854	0.392675852183004
"OLIG1"	"RPS18"	0.0219944534952975	0.392663269000661
"ZNF25"	"ECE1"	0.0219942514007719	0.392659661041177
"RUNX1"	"ZNF34"	0.0219940527010085	0.392656113687811
"ARNTL"	"MRPL51"	0.0219939804903414	0.392654824522949
"ZNF250"	"NACAD"	0.021993355379628	0.392643664526804
"SOX12"	"NOLC1"	0.0219924246053644	0.392627047570847
"HMGB1"	"CTNNA1"	0.021991336782438	0.392607626851597
"NR1D2"	"GLRB"	0.0219910310907556	0.392602169389545
"DNAJC2"	"MRM2"	0.0219906963085193	0.392596192578739
"MYB"	"AL358312"	0.0219897224036604	0.392578805619538
"RARA"	"AL049337"	0.0219882893780785	0.392553222055496
"ZNF407"	"MYO9B"	0.0219876126656444	0.392541140822534
"TADA2B"	"MUM1"	0.0219873712194218	0.392536830323841
"XBP1"	"MPHOSPH10"	0.021985281576956	0.392499524289306
"ZFP1"	"GPR45"	0.0219851073231058	0.392496413364706
"ZNF641"	"SNRPC"	0.0219842482262823	0.392481076053998
"ZSCAN32"	"GAREM2"	0.0219839546399655	0.392475834706996
"ZNF689"	"AL110190"	0.0219825927676059	0.392451521429433
"TFEC"	"TMEM123"	0.0219824885904317	0.392449661571911
"THAP7"	"KIAA0040"	0.0219809244971811	0.392421738078884
"GATA4"	"SYNRG"	0.0219805536544717	0.392415117486534
"IRF4"	"TMCC3"	0.0219804945313184	0.392414061970849
"ZNF140"	"NM_018705"	0.0219760825892467	0.392335296313094
"EGR1"	"SUPV3L1"	0.0219744675327255	0.392306462981392
"FOXB1"	"VRK2"	0.0219729003662109	0.392278484621901
"EGR1"	"PRSS23"	0.0219726717156831	0.392274402562589
"THAP7"	"RETSAT"	0.0219722607493409	0.392267065649789
"ZNF777"	"AF144056"	0.0219721195659896	0.392264545127228
"ZNF33A"	"AK022241"	0.0219713322466365	0.392250489247595
"HMBOX1"	"DDX28"	0.0219711590212833	0.392247396684578
"SFPQ"	"LOC100505874"	0.0219695135741529	0.392218020794455
"TCF4"	"ZNHIT2"	0.0219694907823742	0.392217613896673
"ONECUT1"	"DCLK1"	0.021967822693684	0.392187833790602
